Config,MAE,Profit
BASE,17.534488516531226,0.6267691506440025
ALPHA_LOW,15.839528203773538,0.6402903610752342
ALPHA_HIGH,15.505182947805029,0.6384165479954953
GAMMA_LOW,16.77040694938976,0.6297142224734624
GAMMA_HIGH,16.117338354042566,0.6318561640198959
STICK_LOW,16.872555405519336,0.624943600888576
STICK_HIGH,15.820628257161301,0.6342217643747718
LOW_LOW,24.532010149968233,0.5856767785515433
HIGH_HIGH,16.694387658679915,0.630708634590756
ALPHA_HIGH_STICK_HIGH,15.8186549288194,0.6365513008944931
GAMMA_HIGH_STICK_LOW,16.46885887413616,0.6376851201143868
