Case,Model,Germany-2021,Germany-2022,Germany-2023,France-2023,Norway-2023
Case-I Profit Gap (€/Day),cnp,0.077271,0.161113,0.056386,0.101049,0.124609
Case-I Profit Gap (€/Day),dnn,0.072964,0.184483,0.076868,0.111358,0.220049
Case-I Profit Gap (€/Day),lear,0.069095,0.146177,0.072836,0.096864,0.085111
Case-I Profit Gap (€/Day),blstm,0.148853,0.266652,0.195449,0.166067,0.235179
Case-I Profit Gap (€/Day),xgb,0.078568,0.16609,0.069817,0.085561,0.076089
Case-I Profit Gap (€/Day),tft,0.071574,0.148806,0.052851,0.108274,0.104829
Case-II Profit Gap (€/Day),cnp,0.090788,0.173789,0.073587,0.135096,0.172084
Case-II Profit Gap (€/Day),dnn,0.112824,0.354302,0.197495,0.447853,0.268356
Case-II Profit Gap (€/Day),lear,0.089833,0.32526,0.118952,0.189516,0.129639
Case-II Profit Gap (€/Day),blstm,0.142082,0.262359,0.290719,0.284832,0.268356
Case-II Profit Gap (€/Day),xgb,0.094384,0.264969,0.125538,0.206949,0.113134
Case-II Profit Gap (€/Day),tft,0.086204,0.221937,0.101491,0.193973,0.153864
Case-III Profit Gap (€/Day),cnp,0.090671,0.17379,0.073593,0.135105,0.172092
Case-III Profit Gap (€/Day),dnn,0.112835,0.35431,0.197505,0.447873,0.268368
Case-III Profit Gap (€/Day),lear,0.089839,0.325269,0.118959,0.189531,0.129614
Case-III Profit Gap (€/Day),blstm,0.142088,0.262361,0.290737,0.284833,0.268368
Case-III Profit Gap (€/Day),xgb,0.094391,0.264975,0.125546,0.206962,0.113139
Case-III Profit Gap (€/Day),tft,0.086129,0.221944,0.101499,0.193987,0.153872
Case-IV Cost Gap (€/Day),cnp,0.03374,0.05636,0.024392,0.04688,0.056285
Case-IV Cost Gap (€/Day),dnn,0.036356,0.068598,0.047717,0.094025,0.109304
Case-IV Cost Gap (€/Day),lear,0.029096,0.072753,0.038379,0.049843,0.034927
Case-IV Cost Gap (€/Day),blstm,0.043995,0.07423,0.111822,0.090153,0.105805
Case-IV Cost Gap (€/Day),xgb,0.026829,0.062161,0.035353,0.038896,0.02848
Case-IV Cost Gap (€/Day),tft,0.026226,0.053984,0.027444,0.043827,0.045997
